chr	start	end	log2FC	p-value
chr1	1	625000	-7.80393264544685	0.590000746880315
chr1	625001	2660000	2.03623720355974	0.00928058797883324
chr1	2660001	2750000	-5.17456122760013	0.165994960326601
chr1	2750001	6545000	-1.25692917316558	0.643289702435196
chr1	6545001	6795000	2.64169245797646	0.0171034754555064
chr1	6795001	8395000	-1.32733042578611	0.534028312515245
chr1	8395001	11680000	0.0378822360157218	0.327252604832745
chr1	11680001	12235000	2.27849310462529	0.0128340791987283
chr1	12235001	12860000	-7.77001186767123	0.510021270894634
chr1	12860001	13375000	-7.38431113184706	0.510973179795637
chr1	13375001	15405000	-1.76901516805119	0.643135044300022
chr1	15405001	15980000	1.9526408600127	0.0284922590955854
chr1	15980001	16350000	-7.01445047079078	0.409047006487266
chr1	16350001	16650000	2.18491714871885	0.0235937984019043
chr1	16650001	17750000	0.906244376695563	0.129615263485052
chr1	17750001	19205000	-2.17447757600446	0.614390615445863
chr1	19205001	19490000	1.84993711357352	0.0368157767987007
chr1	19490001	23340000	0.159564551097517	0.312446190261395
chr1	23340001	23985000	1.80568501351628	0.0322274276757415
chr1	23985001	26275000	-0.280271194076351	0.390981554050203
chr1	26275001	28740000	2.36193910321469	0.00354504858369253
chr1	28740001	30715000	-2.55017274516493	0.704209558796532
chr1	30715001	33475000	1.38004029507686	0.0527672512547614
chr1	33475001	35555000	-1.14745364937231	0.538137046958569
chr1	35555001	36145000	0.510189891233654	0.15491679661908
chr1	36145001	36400000	2.44362394826592	0.0119176020784469
chr1	36400001	36465000	1.26823856453455	0.040727095064561
chr1	36465001	40035000	-0.271923682431122	0.4164845647642
chr1	40035001	40535000	2.52395981317936	0.0194074486171776
chr1	40535001	45490000	0.79690259060276	0.136131188004406
chr1	45490001	45755000	2.32983046434088	0.00486996462016154
chr1	45755001	46130000	-7.47758910927654	0.395043241745711
chr1	46130001	46720000	1.46750423753633	0.0497535673276366
chr1	46720001	50955000	-3.74890583416886	0.882344767607646
chr1	50955001	58660000	-0.442411858225254	0.539267191229746
chr1	58660001	58910000	1.68791877411353	0.0281973386937481
chr1	58910001	78010000	-0.808057961808607	0.751489781051128
chr1	78010001	84425000	-2.66445080406276	0.894002098721096
chr1	84425001	84695000	1.28305065354617	0.103370769787866
chr1	84695001	86700000	-0.672209498372853	0.458029377618093
chr1	86700001	86950000	3.11325436642924	0.00836364321516259
chr1	86950001	89630000	-0.489144338233638	0.451749442619944
