chr	start	end	log2FC	p-value
chr1	1	625000	-9.06954526155416	0.768068515390683
chr1	625001	2590000	1.56260334779569	0.0194673684482571
chr1	2590001	3575000	-1.40689267243334	0.635099165805968
chr1	3575001	3905000	1.3257932766862	0.0610494444330649
chr1	3905001	5705000	-3.81252888701405	0.879959010233387
chr1	5705001	6790000	0.98304581659289	0.0987512747624286
chr1	6790001	8700000	-1.06888761152754	0.653728955281677
chr1	8700001	9955000	1.14660800415506	0.0740520888109079
chr1	9955001	11680000	-0.0704248231585008	0.368915226064418
chr1	11680001	12190000	1.67686363487044	0.0234079077914918
chr1	12190001	12675000	-1.00238301636492	0.474040272767692
chr1	12675001	12825000	-7.09517309855899	0.467982616474479
chr1	12825001	13390000	-8.89957067318087	0.744017151022074
chr1	13390001	13475000	-6.60733746301908	0.350982031616786
chr1	13475001	13755000	-0.312038303014983	0.312643223612696
chr1	13755001	15405000	-3.69934960943506	0.857871692751953
chr1	15405001	16650000	0.986524458104742	0.0999635205042685
chr1	16650001	17430000	0.129483863734122	0.274471640469604
chr1	17430001	17680000	0.772332560984237	0.129630544689917
chr1	17680001	17750000	-6.22213635278682	0.30301248884471
chr1	17750001	18895000	-3.21363793187784	0.809674509319928
chr1	18895001	19490000	1.08964392876974	0.0841633952276853
chr1	19490001	21760000	-0.399455546151493	0.47951409474844
chr1	21760001	22055000	1.17393682095553	0.0778172584735215
chr1	22055001	23520000	-0.490207241202459	0.476644577249813
chr1	23520001	23985000	1.08062584775182	0.0802999809889138
chr1	23985001	25795000	-0.118910880166699	0.395280370264774
chr1	25795001	28740000	1.53091704979869	0.0201782344887393
chr1	28740001	28930000	0.51554711505083	0.183051351037916
chr1	28930001	30715000	-2.22396524631941	0.810130165151437
chr1	30715001	33475000	1.08550709737649	0.0638784931683853
chr1	33475001	34850000	-2.43989498339131	0.781831750575662
chr1	34850001	36085000	0.262225276588126	0.269434953231151
chr1	36085001	36400000	1.80041775393061	0.0267724881641449
chr1	36400001	36490000	0.235849804969505	0.154695291917185
chr1	36490001	37470000	-2.92005681583605	0.758805693686759
chr1	37470001	38050000	1.12984699079819	0.0847907078306959
chr1	38050001	38855000	-2.75404744392679	0.727351568492683
chr1	38855001	38990000	0.996629682671102	0.0777789363720099
chr1	38990001	41810000	1.03259889533077	0.0743503886143551
chr1	41810001	45490000	0.57507352299142	0.181459557621834
chr1	45490001	45755000	1.58815760516172	0.0210251452535599
chr1	45755001	48610000	-0.176030635990738	0.432760199664613
chr1	48610001	48920000	1.87369219026659	0.0257212700970439
chr1	48920001	50945000	-1.9718170958145	0.81254463837024
chr1	50945001	52750000	0.89457003766711	0.106574866350765
chr1	52750001	55320000	0.221874809843225	0.294851230001832
chr1	55320001	58695000	-2.0941124850934	0.844537538614532
chr1	58695001	59300000	1.28663248996827	0.0478455585056431
chr1	59300001	64465000	-0.841597969077489	0.707687526017861
chr1	64465001	67900000	0.842491420495341	0.108503652053104
chr1	67900001	70200000	-2.11888149714837	0.806369886174603
chr1	70200001	70415000	1.42136028826811	0.068194944632526
chr1	70415001	70450000	-6.01715914632804	0.212009268193266
chr1	70450001	75610000	-1.92852404494511	0.874821376715176
chr1	75610001	75860000	0.633330523272878	0.141419761909932
chr1	75860001	77680000	-0.132821777242598	0.396976922968343
chr1	77680001	78010000	1.19879762333243	0.0796785280910044
chr1	78010001	84430000	-2.56008517947144	0.935873407553796
chr1	84430001	85340000	1.07203384078712	0.0860432198510875
chr1	85340001	86700000	-0.808535405854917	0.564586143063891
chr1	86700001	86950000	1.96236149401988	0.0204718830596292
chr1	86950001	87340000	1.03442743387745	0.0913410694162813
chr1	87340001	89605000	-0.437629633234205	0.495178220062952
chr1	89605001	89630000	-5.36012029429566	0.158012841547556
chr1	89630001	89855000	2.37495657377923	0.0100775432159057
chr1	89855001	93665000	0.32490125470135	0.259294560137799
chr1	93665001	93915000	2.49850963721519	0.00428729930917404
chr1	93915001	100035000	-0.723035652229361	0.697583198599285
chr1	100035001	101455000	1.32410594302991	0.0505664771972507
chr1	101455001	103580000	-2.00223367655418	0.802076427475498
chr1	103580001	103830000	-7.7134622804099	0.591943568443452
chr1	103830001	107045000	-1.96382354567445	0.851498911390352
chr1	107045001	107785000	0.355594765136129	0.220615964340712
chr1	107785001	108210000	1.92151807305955	0.0157341939168136
chr1	108210001	108555000	-8.34185940712686	0.635025394166903
chr1	108555001	110410000	1.46530561858096	0.0266176877979637
chr1	110410001	116370000	0.383474044066271	0.241493008315768
chr1	116370001	116620000	2.17503049373327	0.00759441339031242
chr1	116620001	117125000	0.957023243246248	0.109234551235061
chr1	117125001	121070000	-1.19959820179296	0.754313660263899
chr1	121070001	121590000	0.209382421522206	0.245642167324761
