chr	start	end	log2FC	p-value
chr1	1	625000	-8.65310365770237	0.714985928588515
chr1	625001	2590000	2.24947711550108	0.00249992507960428
chr1	2590001	3510000	-0.498673439913872	0.398794721292608
chr1	3510001	3915000	1.70078946701022	0.0295429483212263
chr1	3915001	5615000	-9.97046652743822	0.857983655635582
chr1	5615001	6635000	1.41874988973068	0.0531547439830848
chr1	6635001	6790000	1.14924582198342	0.0714971027058354
chr1	6790001	8700000	-0.971249361569448	0.57833441232992
chr1	8700001	9945000	1.34673669111688	0.0590503906234388
chr1	9945001	11650000	0.634343467445755	0.181235459179932
chr1	11650001	11675000	-5.70801617830341	0.138981407277788
chr1	11675001	11935000	2.05851911328703	0.0229746884064481
chr1	11935001	12650000	0.236709997252464	0.24639668107957
chr1	12650001	12855000	-7.10641843739843	0.449013483357887
chr1	12855001	13465000	-8.58662345282085	0.695983278623511
chr1	13465001	13815000	0.775329580258091	0.131214430971394
chr1	13815001	15405000	-3.2290601545399	0.800935264788561
chr1	15405001	17710000	1.12604225771887	0.0787551035829189
chr1	17710001	17750000	-5.17438562306186	0.175997609127263
chr1	17750001	18900000	-2.91515897502749	0.743833635117021
chr1	18900001	19490000	1.41110029648314	0.0502318113348708
chr1	19490001	21760000	-0.731760375839999	0.549170757640845
chr1	21760001	22055000	1.69302949230059	0.0390576197366655
chr1	22055001	23520000	-0.349842245052393	0.421449063119472
chr1	23520001	23985000	2.303155894693	0.00915996621124426
chr1	23985001	25750000	0.118221724963586	0.302137985050647
chr1	25750001	28740000	1.46940254766459	0.0278242316964884
chr1	28740001	30715000	-0.951664644944498	0.57016242954552
chr1	30715001	31935000	0.929554827349653	0.114446749827058
chr1	31935001	32355000	2.16107822676376	0.00735950317261036
chr1	32355001	33475000	0.87367094400618	0.122684751212931
chr1	33475001	34850000	-1.97674296155102	0.664226068110281
chr1	34850001	36080000	0.11060215923445	0.288824605939033
chr1	36080001	36400000	2.03257856168929	0.0169016178249021
chr1	36400001	36465000	1.20406114482607	0.0413916707591488
chr1	36465001	38050000	-0.0933888327502343	0.355493900114213
chr1	38050001	38770000	-8.86387821751492	0.694007280456004
chr1	38770001	38990000	-0.479460278027589	0.269287235688075
chr1	38990001	39275000	1.61257426584676	0.0392540872034597
chr1	39275001	41810000	1.1408086776511	0.0721917411113981
chr1	41810001	45490000	0.828340695932797	0.127175042667021
chr1	45490001	45755000	1.70770274960331	0.0262732124553995
chr1	45755001	46125000	-7.98923485990994	0.588016505971897
chr1	46125001	46405000	1.22275719466582	0.102990454152345
chr1	46405001	48610000	-0.889489276424174	0.591548726336626
chr1	48610001	48925000	0.969233381005119	0.122199735656061
chr1	48925001	51230000	-10.4144846501784	0.883995892008013
chr1	51230001	52750000	1.01179425241931	0.11231689484795
chr1	52750001	53170000	-7.91693328079863	0.594000011113502
chr1	53170001	53420000	2.05771405587211	0.0157621850548275
chr1	53420001	53835000	-8.08629045511437	0.589961232215514
chr1	53835001	54500000	0.9032758469524	0.121521730662957
chr1	54500001	55340000	0.323081712409732	0.230904353689946
chr1	55340001	58695000	-1.41882881860392	0.741729299078521
chr1	58695001	59320000	1.07031994930181	0.106099202246335
chr1	59320001	63520000	-1.079841957122	0.693748997910413
chr1	63520001	66920000	-0.274064478192745	0.447094250460843
chr1	66920001	67950000	0.942413708848402	0.112226145461944
chr1	67950001	71635000	-1.83059861410918	0.807441596837644
chr1	71635001	71885000	1.50069526490108	0.0821657353496863
chr1	71885001	74645000	-2.99561960586956	0.86313703859885
chr1	74645001	77680000	-1.1144656217795	0.665794350482373
chr1	77680001	78010000	0.984333336783354	0.0984738838413155
chr1	78010001	84475000	-4.18860105691077	0.955911647954938
chr1	84475001	84725000	1.05835017183972	0.121497399037281
chr1	84725001	86700000	-1.98772848023257	0.757236828058675
chr1	86700001	89630000	0.119588787481177	0.324629448076031
chr1	89630001	90000000	1.77997220954976	0.0430775832727254
chr1	90000001	91400000	-2.11031895867053	0.715566506007322
chr1	91400001	93675000	0.551578472110437	0.192963477909284
chr1	93675001	94100000	2.46342008908879	0.00476892739437673
chr1	94100001	99965000	-1.84847593586734	0.862259819844196
chr1	99965001	101235000	0.62938474732519	0.171446427218012
chr1	101235001	101485000	2.46215597385428	0.0142946383953071
chr1	101485001	103580000	-2.01367546560968	0.724774411286313
chr1	103580001	103830000	-7.352147748425	0.487983723551428
chr1	103830001	107045000	-1.65682288960205	0.767197538299867
chr1	107045001	107525000	0.310145004744564	0.200751714575678
chr1	107525001	108205000	2.19955717648219	0.00874539864136337
chr1	108205001	108555000	-7.7861198214605	0.577999368313965
chr1	108555001	111760000	1.32921480996309	0.0426653774094521
chr1	111760001	116370000	0.111020859793722	0.340087894478329
chr1	116370001	116670000	1.87045763704213	0.0432938977401874
chr1	116670001	119645000	-1.49549214039421	0.717238666436791
chr1	119645001	120180000	0.403124966296446	0.192520665506644
chr1	120180001	120345000	-7.07698901453154	0.3740235847547
chr1	120345001	120910000	-1.71613463634604	0.513380219027187
chr1	120910001	121605000	-0.135036518924563	0.313205258686476
chr1	121605001	122500000	-9.20070040059688	0.797048278617617
chr1	122500001	124935000	-10.505453926309	0.896962540965215
chr1	124935001	125185000	0.283429748472624	0.19184454885074
chr1	125185001	125255000	-5.22111606319826	0.228560512242606
chr1	125255001	128025000	-10.606477262686	0.919965423945369
chr1	128025001	128585000	-8.4924432414934	0.660018699692141
chr1	128585001	129145000	-8.53128709943157	0.666065389629266
chr1	129145001	129705000	-8.37359894691741	0.657040966372165
chr1	129705001	130265000	-8.56601396461387	0.672018459354872
chr1	130265001	130525000	-7.46001079028405	0.491025965568424
chr1	130525001	130825000	-7.76005615243528	0.526992560202605
chr1	130825001	131085000	-7.5563784922105	0.50600599321773
chr1	131085001	131385000	-7.84739927069367	0.51402758196584
chr1	131385001	131645000	-7.50427754136698	0.495051979842567
chr1	131645001	131945000	-7.77614955559202	0.509041915179913
chr1	131945001	132205000	-7.28165922578617	0.47800574467547
chr1	132205001	132765000	-8.49771299231572	0.675920095438489
chr1	132765001	133025000	-7.43680836348985	0.503998718384153
chr1	133025001	133325000	-7.85088920753982	0.52403475755835
chr1	133325001	133585000	-7.39494316756503	0.49493155872764
chr1	133585001	133885000	-7.6507286369256	0.531018297596308
chr1	133885001	134145000	-7.47384317395148	0.50205372027052
chr1	134145001	134445000	-7.42065829552204	0.566992267889775
chr1	134445001	134705000	-7.47727165953324	0.470012960290186
chr1	134705001	135265000	-8.65755573250651	0.668065034692515
chr1	135265001	135525000	-7.49884065910581	0.497962395550845
chr1	135525001	135825000	-7.67140360693909	0.547043725803166
chr1	135825001	136085000	-7.53834696391935	0.502992205423098
chr1	136085001	136385000	-7.6464186014893	0.568033253836836
chr1	136385001	136645000	-7.21688758404823	0.503038059937407
chr1	136645001	136945000	-7.7067036912547	0.535002603350101
chr1	136945001	137205000	-7.46245586937565	0.496011833371049
chr1	137205001	137765000	-8.48069668878	0.661029817801498
chr1	137765001	138025000	-7.16676628588591	0.492915668296974
chr1	138025001	138325000	-7.67239822391568	0.524975196349942
chr1	138325001	138585000	-7.43338336432716	0.494012257591656
chr1	138585001	138885000	-7.50024696231875	0.559958979917293
